time(s) 	 x 	 y 	 x 	 y 	 x 	 y 
22.6	549.0	165.0	546.0	368.0	541.0	527.0
22.8	548.0	165.0	546.0	369.0	541.0	528.0
23.0	548.0	165.0	546.0	370.0	541.0	529.0
23.2	548.0	165.0	546.0	371.0	541.0	530.0
23.4	548.0	165.0	546.0	372.0	541.0	531.0
23.6	549.0	164.0	546.0	373.0	541.0	532.0
23.8	548.0	164.0	546.0	374.0	541.0	533.0
24.0	549.0	164.0	546.0	375.0	540.0	533.0
24.2	548.0	164.0	545.0	376.0	540.0	534.0
24.4	548.0	165.0	545.0	377.0	540.0	535.0
24.6	548.0	164.0	545.0	377.0	540.0	536.0
24.8	548.0	164.0	545.0	378.0	540.0	537.0
25.0	548.0	165.0	545.0	380.0	540.0	538.0
25.2	548.0	164.0	545.0	380.0	540.0	538.0
25.4	548.0	165.0	545.0	382.0	540.0	539.0
25.6	548.0	164.0	545.0	382.0	540.0	540.0
25.8	548.0	164.0	545.0	382.0	540.0	540.0
26.0	549.0	164.0	545.0	382.0	540.0	539.0
26.2	548.0	164.0	545.0	382.0	540.0	540.0
26.4	549.0	164.0	545.0	382.0	540.0	540.0
26.6	549.0	164.0	545.0	382.0	540.0	540.0
26.8	550.0	163.0	547.0	381.0	542.0	538.0
